name,price,ratingAVG,ratingCOUNT
Nic Tartaglia Trebbiano d'Abruzzo 2022,13.333333333333334,0.0,6
Varvaglione Paralupi Appassimento 2021,13.88,0.0,6
Château Voigny Sauternes 2019,13.95,4.4,143
Cignomoro Primitivo di Manduria 2021,18.75,4.5,32
Luccarelli Old Vines Primitivo di Manduria 2019,20.95,4.4,274
Puglia Pop Triglia Negroamaro Rosato 2022,22.95,4.7,25
Farnese Cinque Autoctoni Collection Limited Release 2020,23.9,4.4,255
Vigneti del Salento Vigne Vecchie Gold Series Leggenda Primitivo di Manduria 2019,23.95,4.5,424
San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2018,24.75,4.4,1748
Puglia Pop Luminaria Primitivo di Manduria 2021,24.95,4.5,71
Guerrieri Guerriero della Terra 2020,25.95,4.4,182
Rutini Malbec 2019,25.99,4.4,2567
