country,wine_per_country,grape,wine,ratingAVG,ratingCOUNT
Italie,274658,Chardonnay,Vin Santo di Montepulciano,4.6,773
Italie,274658,Merlot,Vin Santo di Montepulciano,4.6,773
Italie,274658,Sangiovese,Vin Santo di Montepulciano,4.6,773
Australie,90954,Shiraz/Syrah,St. Henri Shiraz,4.4,17326
Australie,90954,Cabernet Sauvignon,St. Henri Shiraz,4.4,17326
Australie,90954,Chardonnay,St. Henri Shiraz,4.4,17326
Italie,274658,Chardonnay,Siepi,4.4,8129
Italie,274658,Merlot,Siepi,4.4,8129
Italie,274658,Sangiovese,Siepi,4.4,8129
Italie,274658,Chardonnay,Solare Toscana,4.2,4961
Italie,274658,Merlot,Solare Toscana,4.2,4961
Italie,274658,Sangiovese,Solare Toscana,4.2,4961
Italie,274658,Chardonnay,Tenuta Tignanello 'Solaia',4.6,33143
Italie,274658,Merlot,Tenuta Tignanello 'Solaia',4.6,33143
Italie,274658,Sangiovese,Tenuta Tignanello 'Solaia',4.6,33143
Italie,274658,Chardonnay,Tignanello,4.5,142513
Italie,274658,Merlot,Tignanello,4.5,142513
Italie,274658,Sangiovese,Tignanello,4.5,142513
Italie,274658,Chardonnay,Tenuta Guado al Tasso Bolgheri Superiore,4.5,33392
Italie,274658,Merlot,Tenuta Guado al Tasso Bolgheri Superiore,4.5,33392
Italie,274658,Sangiovese,Tenuta Guado al Tasso Bolgheri Superiore,4.5,33392
Italie,274658,Chardonnay,Pian delle Vigne Brunello di Montalcino,4.3,31363
Italie,274658,Merlot,Pian delle Vigne Brunello di Montalcino,4.3,31363
Italie,274658,Sangiovese,Pian delle Vigne Brunello di Montalcino,4.3,31363
Italie,274658,Chardonnay,Castello della Sala Cervaro della Sala,4.4,30203
Italie,274658,Merlot,Castello della Sala Cervaro della Sala,4.4,30203
Italie,274658,Sangiovese,Castello della Sala Cervaro della Sala,4.4,30203
Italie,274658,Chardonnay,Castello della Sala Muffato della Sala,4.3,6356
Italie,274658,Merlot,Castello della Sala Muffato della Sala,4.3,6356
Italie,274658,Sangiovese,Castello della Sala Muffato della Sala,4.3,6356
États-Unis,204060,Cabernet Sauvignon,Chardonnay,4.3,18694
États-Unis,204060,Chardonnay,Chardonnay,4.3,18694
États-Unis,204060,Pinot Noir,Chardonnay,4.3,18694
Italie,274658,Chardonnay,Amarone della Valpolicella Classico,4.4,18720
Italie,274658,Merlot,Amarone della Valpolicella Classico,4.4,18720
Italie,274658,Sangiovese,Amarone della Valpolicella Classico,4.4,18720
Argentine,36121,Cabernet Sauvignon,Nicolás Catena Zapata,4.4,28227
Argentine,36121,Chardonnay,Nicolás Catena Zapata,4.4,28227
Argentine,36121,Malbec,Nicolás Catena Zapata,4.4,28227
Argentine,36121,Cabernet Sauvignon,Malbec Argentino,4.4,47435
Argentine,36121,Chardonnay,Malbec Argentino,4.4,47435
Argentine,36121,Malbec,Malbec Argentino,4.4,47435
Italie,274658,Chardonnay,Alàuda,4.5,670
Italie,274658,Merlot,Alàuda,4.5,670
Italie,274658,Sangiovese,Alàuda,4.5,670
