id,name,wine_id,ratings_average,ratings_count,year,price_euros,price_discounted_from,price_discount_percentage,bottle_volume_ml
2036,Mazzei Siepi 2005,1471,4.4,580,2005,168.75,,,750
2202,Antinori Tignanello 2005,1652,4.5,1933,2005,750.0,,,1500
10343,Casanova di Neri Tenuta Nuova Brunello di Montalcino 2001,9712,4.5,611,2001,420.0,,,750
10786,Poggio Antico Altero Brunello di Montalcino 2006,10152,4.5,236,2006,121.25,,,750
10809,Château Angelus Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2007,10175,4.5,876,2007,726.25,,,750
11563,Paul Jaboulet Aîné Hermitage La Chapelle Rouge 2006,10922,4.5,927,2006,310.0,,,750
14600,Renato Ratti Barolo Rocche 2004,13904,4.5,256,2004,202.5,,,750
14665,Emidio Pepe Montepulciano d'Abruzzo 2001,13969,4.4,452,2001,248.25,,,750
15887,La Spinetta Vürsù Barbaresco Starderi 2005,15182,4.4,296,2005,262.5,,,750
21786,Renato Ratti Barolo Rocche 2001,13904,0.0,2,2001,276.25,,,750
22753,Poggio Antico Brunello di Montalcino 2004,10151,4.4,647,2004,367.5,,,750
23567,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2000,3908,4.7,1077,2000,2753.75,,,750
23593,Tenuta San Guido Sassicaia 2005,5078,4.6,2896,2005,661.25,,,750
23899,Ornellaia Bolgheri Superiore 2006,22447,4.6,2108,2006,1238.75,,,1500
25310,Château Lafite Rothschild Carruades de Lafite Pauillac 2006,23793,4.4,433,2006,731.25,,,750
30934,Nino Negri 5 Stelle Sfursat 2006,28214,4.4,288,2006,130.0,,,750
72184,Gaja Barbaresco 2006,66104,4.5,544,2006,533.75,,,750
72274,Gaja Sperss Barolo 2004,66194,4.6,577,2004,618.75,,,750
72304,Gaja Darmagi Langhe 2004,66224,4.6,161,2004,420.0,,,750
81794,Rocche dei Manzoni Vigna Cappella di S. Stefano Perno Barolo 2001,19250,4.4,226,2001,148.75,,,750
82142,Louis Roederer Cristal Brut Champagne (Millésimé) 2002,74304,4.7,3475,2002,896.25,,,750
82144,Louis Roederer Cristal Rosé Brut Champagne (Millésimé) 2002,74306,4.7,501,2002,3202.5,,,1500
83768,La Spinetta Vürsù Barbaresco Starderi 2006,15182,4.4,385,2006,256.25,,,750
83863,Gaja Costa Russi (Barbaresco) Langhe 2004,66114,4.7,123,2004,811.25,,,750
84072,Gaja Barbaresco 2004,66104,4.6,970,2004,533.75,,,750
84923,Tenuta San Guido Sassicaia 2000,5078,4.6,2282,2000,1408.75,,,1500
84925,Tenuta San Guido Sassicaia 1998,5078,4.7,1736,1998,1686.25,,,1500
84926,Tenuta San Guido Sassicaia 1997,5078,4.7,1533,1997,747.5,,,750
84928,Tenuta San Guido Sassicaia 1992,5078,4.5,366,1992,618.75,,,750
84930,Tenuta San Guido Sassicaia 1994,5078,4.4,651,1994,618.75,,,750
84934,Tenuta San Guido Sassicaia 1999,5078,4.7,2128,1999,1537.5,,,1500
85048,Conterno Fantino Barolo Ginestra Vigna del Gris 2001,16639,4.5,30,2001,243.75,,,750
85087,Renato Ratti Barolo Rocche 2000,13904,0.0,2,2000,276.25,,,750
85600,La Spinetta Vürsù Barbaresco Valeirano 2003,15184,4.6,127,2003,208.75,,,750
85671,Bertani Amarone della Valpolicella Classico 2000,1835,4.4,548,2000,212.5,,,750
85958,Paolo Scavino Bric Dël Fiasc Barolo 2005,75764,4.5,341,2005,221.25,,,750
86009,Tua Rita Redigaffi Toscana 2005,75816,4.4,164,2005,493.75,,,750
88086,Gaja Barbaresco 1982,66104,4.5,156,1982,533.75,,,750
88087,Gaja Barbaresco 1988,66104,4.5,170,1988,1025.0,,,1500
88117,Tua Rita Redigaffi Toscana 1995,75816,0.0,11,1995,921.25,,,1500
88144,Gaja Darmagi Langhe 2000,66224,4.6,147,2000,353.75,,,750
88480,Gaja Barbaresco 2005,66104,4.6,932,2005,491.25,,,750
89077,Gaja Costa Russi (Barbaresco) Langhe 1999,66114,4.6,163,1999,1387.5,,,1500
89092,Arnaldo-Caprai 25 anni Montefalco Sagrantino 2001,23094,4.4,143,2001,85.0,,,750
89142,Gaja Sorì Tildìn (Barbaresco) Langhe 2003,66134,4.6,155,2003,597.5,,,750
89674,Gaja Barbaresco 1995,66104,4.4,217,1995,512.5,,,750
89681,Gaja Sorì Tildìn (Barbaresco) Langhe 1999,66134,4.6,207,1999,811.25,,,750
89692,Antinori Tignanello 1997,1652,4.6,1103,1997,491.25,,,750
90829,Louis Roederer Cristal Brut Champagne (Millésimé) 1999,74304,4.7,666,1999,1900.0,,,1500
90899,Louis Roederer Cristal Brut Champagne (Millésimé) 2000,74304,4.6,959,2000,630.0,,,750
91156,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1997,3908,4.7,753,1997,1238.75,,,750
91205,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1986,3908,4.7,1273,1986,5977.5,,,1500
91207,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1992,3908,4.5,449,1992,1082.55,,,750
91211,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1977,3908,4.5,134,1977,635.25,,,750
91236,Lisini Brunello di Montalcino 2004,17474,4.4,177,2004,142.5,,,750
91355,Poggio Antico Altero Brunello di Montalcino 2004,10152,4.5,642,2004,123.75,,,750
91589,Cordero di Montezemolo Barolo Bricco Gattera 2004,8793,4.5,46,2004,250.0,,,750
91796,Caymus Special Selection Cabernet Sauvignon 1997,66294,4.6,299,1997,397.5,,,750
92522,Gaja Sperss Barolo 2005,66194,4.6,597,2005,533.75,,,750
93560,La Spinetta Vürsù Barbaresco Starderi 2004,15182,4.4,261,2004,307.5,,,750
93707,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,3908,4.8,1000,2003,1900.0,,,750
93711,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2002,3908,4.6,1332,2002,1387.5,,,750
93713,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2004,3908,4.7,981,2004,1473.75,,,750
94895,Billecart-Salmon Cuvée Nicolas François Billecart Brut Champagne 1998,79835,4.4,314,1998,360.0,,,750
94978,Le Macchiole Scrio 2004,16419,4.5,121,2004,243.75,,,750
94980,Le Macchiole Messorio 2005,16418,4.7,248,2005,420.0,,,750
