name,price,ratingAVG,ratingCOUNT
Cignomoro Primitivo di Manduria 2021,18.75,4.5,32
Puglia Pop Triglia Negroamaro Rosato 2022,22.95,4.7,25
Vigneti del Salento Vigne Vecchie Gold Series Leggenda Primitivo di Manduria 2019,23.95,4.5,424
Puglia Pop Luminaria Primitivo di Manduria 2021,24.95,4.5,71
Cignomoro 6 Anime Puglia Rosso 2021,27.3,4.5,140
Quinta do Paral Vinhas Velhas Tinto 2019,29.95,4.6,181
Cignomoro 80 Vecchie Vigne Primitivo di Manduria Old Vines 2020,31.95,4.5,92
Château Purcari Ice Wine de Purcari 2017,33.17,4.6,87
Château Purcari Negru de Purcari Limited Edition 2019,33.17,4.5,48
Tenuta Ulisse Limited Edition 10 Vendemmie,34.2,4.5,9453
