,taste,keyword_count,wine,ratings_average,ratings_count
0,leather,73,Brunello di Montalcino Riserva,4.6,3375
1,mushroom,46,Brunello di Montalcino Riserva,4.6,3375
2,earthy,28,Brunello di Montalcino Riserva,4.6,3375
3,balsamic,23,Brunello di Montalcino Riserva,4.6,3375
4,smoke,21,Brunello di Montalcino Riserva,4.6,3375
5,truffle,16,Brunello di Montalcino Riserva,4.6,3375
6,forest floor,12,Brunello di Montalcino Riserva,4.6,3375
7,tobacco,57,Brunello di Montalcino Riserva,4.6,3375
8,tobacco,57,Brunello di Montalcino Riserva,4.6,3375
9,oak,31,Brunello di Montalcino Riserva,4.6,3375
10,coffee,15,Brunello di Montalcino Riserva,4.6,3375
11,chocolate,13,Brunello di Montalcino Riserva,4.6,3375
12,cedar,13,Brunello di Montalcino Riserva,4.6,3375
13,vanilla,11,Brunello di Montalcino Riserva,4.6,3375
14,leather,73,Brunello di Montalcino Riserva,4.6,3375
15,smoke,21,Brunello di Montalcino Riserva,4.6,3375
16,cherry,58,Brunello di Montalcino Riserva,4.6,3375
17,red fruit,27,Brunello di Montalcino Riserva,4.6,3375
18,strawberry,17,Brunello di Montalcino Riserva,4.6,3375
19,raspberry,15,Brunello di Montalcino Riserva,4.6,3375
20,tobacco,57,Brunello di Montalcino Riserva,4.6,3375
21,smoke,21,Brunello di Montalcino Riserva,4.6,3375
22,coffee,15,Brunello di Montalcino Riserva,4.6,3375
23,cedar,13,Brunello di Montalcino Riserva,4.6,3375
24,vanilla,11,Brunello di Montalcino Riserva,4.6,3375
25,licorice,23,Brunello di Montalcino Riserva,4.6,3375
26,vanilla,11,Brunello di Montalcino Riserva,4.6,3375
27,plum,23,Brunello di Montalcino Riserva,4.6,3375
28,mushroom,46,Brunello di Montalcino Riserva,4.6,3375
29,truffle,16,Brunello di Montalcino Riserva,4.6,3375
30,orange,16,Brunello di Montalcino Riserva,4.6,3375
31,honey,21,L'Extravagant de Doisy-Daëne Sauternes,4.6,465
32,apricot,12,L'Extravagant de Doisy-Daëne Sauternes,4.6,465
33,chocolate,192,Pomerol,4.7,32157
34,tobacco,153,Pomerol,4.7,32157
35,mocha,104,Pomerol,4.7,32157
36,oak,104,Pomerol,4.7,32157
37,vanilla,87,Pomerol,4.7,32157
38,coffee,49,Pomerol,4.7,32157
39,cedar,46,Pomerol,4.7,32157
40,dark chocolate,27,Pomerol,4.7,32157
41,caramel,24,Pomerol,4.7,32157
42,cigar,16,Pomerol,4.7,32157
43,cigar box,14,Pomerol,4.7,32157
44,leather,201,Pomerol,4.7,32157
45,smoke,79,Pomerol,4.7,32157
46,cinnamon,16,Pomerol,4.7,32157
47,cocoa,15,Pomerol,4.7,32157
48,leather,201,Pomerol,4.7,32157
49,earthy,106,Pomerol,4.7,32157
50,smoke,79,Pomerol,4.7,32157
51,truffle,50,Pomerol,4.7,32157
52,mushroom,43,Pomerol,4.7,32157
53,minerals,24,Pomerol,4.7,32157
54,forest floor,17,Pomerol,4.7,32157
55,tar,15,Pomerol,4.7,32157
56,cocoa,15,Pomerol,4.7,32157
57,graphite,11,Pomerol,4.7,32157
58,game,11,Pomerol,4.7,32157
59,tobacco,153,Pomerol,4.7,32157
60,mocha,104,Pomerol,4.7,32157
61,dark chocolate,27,Pomerol,4.7,32157
62,tobacco,153,Pomerol,4.7,32157
63,mocha,104,Pomerol,4.7,32157
64,vanilla,87,Pomerol,4.7,32157
65,smoke,79,Pomerol,4.7,32157
66,coffee,49,Pomerol,4.7,32157
67,cedar,46,Pomerol,4.7,32157
68,caramel,24,Pomerol,4.7,32157
69,cinnamon,16,Pomerol,4.7,32157
70,plum,159,Pomerol,4.7,32157
71,black fruit,86,Pomerol,4.7,32157
72,black cherry,82,Pomerol,4.7,32157
73,blackcurrant,57,Pomerol,4.7,32157
74,blackberry,55,Pomerol,4.7,32157
75,dark fruit,34,Pomerol,4.7,32157
76,blueberry,27,Pomerol,4.7,32157
77,cassis,26,Pomerol,4.7,32157
78,jam,12,Pomerol,4.7,32157
79,black olive,12,Pomerol,4.7,32157
80,prune,26,Pomerol,4.7,32157
81,cherry,71,Pomerol,4.7,32157
82,raspberry,46,Pomerol,4.7,32157
83,red fruit,30,Pomerol,4.7,32157
84,strawberry,27,Pomerol,4.7,32157
85,black cherry,82,Pomerol,4.7,32157
86,jam,12,Pomerol,4.7,32157
87,pepper,37,Pomerol,4.7,32157
88,licorice,36,Pomerol,4.7,32157
89,mint,17,Pomerol,4.7,32157
90,cinnamon,16,Pomerol,4.7,32157
91,vanilla,87,Pomerol,4.7,32157
92,cream,18,Pomerol,4.7,32157
93,truffle,50,Pomerol,4.7,32157
94,mushroom,43,Pomerol,4.7,32157
95,prune,26,Pomerol,4.7,32157
96,raisin,12,Pomerol,4.7,32157
97,jam,12,Pomerol,4.7,32157
98,violet,12,Pomerol,4.7,32157
